Action,Side,Price,Quantity,Stoploss,SLTriggerBy,LeavesQuantity,ReduceOnly,TIF,OrderStatus,OrderID,CratedAt,UpdatedAt,Time
Close,Buy,22472.5,1001,NA,NA,1001,True,ImmediateOrCancel,Created,11aa4ac4-c83d-45b4-bb58-55fa7da553f3,2022-07-07T20:00:12.335Z,2022-07-07T20:00:12.335Z,1657224012.336076
Open,Buy,22477,573,20232.5,MarkPrice,573,False,ImmediateOrCancel,Created,38495946-40fc-45c7-8303-bf95034166f5,2022-07-07T20:00:13.346Z,2022-07-07T20:00:13.346Z,1657224013.346721
Modify,Sell,21166,8,NA,NA,8,True,ImmediateOrCancel,Created,de0779c0-65de-4b0b-8d98-55a6786d5227,2022-07-07T20:00:14.650Z,2022-07-07T20:00:14.650Z,1657224014.650774
Open,Buy,21214.5,714,19492.5,MarkPrice,714,False,ImmediateOrCancel,Created,910b5a71-55f3-473b-abf4-88d3854513a8,2022-07-14T20:00:13.961Z,2022-07-14T20:00:13.961Z,1657828813.962089
Modify,Sell,19979.5,8,NA,NA,8,True,ImmediateOrCancel,Created,140e7c6b-c022-4461-bd7d-999339de5d3d,2022-07-14T20:00:15.236Z,2022-07-14T20:00:15.236Z,1657828815.236431
Close,Sell,22671.5,706,NA,NA,706,True,ImmediateOrCancel,Created,cfd2339f-3857-4e27-99a4-26278d79272c,2022-08-17T16:00:12.380Z,2022-08-17T16:00:12.380Z,1660752012.380624
Open,Sell,22671,988,24591.5,MarkPrice,988,False,ImmediateOrCancel,Created,cac6adfe-e45f-43b3-9723-8017f8cb8f3e,2022-08-17T16:00:13.360Z,2022-08-17T16:00:13.360Z,1660752013.360962
Modify,Buy,24073,2,NA,NA,2,True,ImmediateOrCancel,Created,b267f899-ba53-4394-bef0-c186e6f82925,2022-08-17T16:00:14.671Z,2022-08-17T16:00:14.671Z,1660752014.671391
Close,Buy,22347,986,NA,NA,986,True,ImmediateOrCancel,Created,535d3c8d-17bb-4725-a99c-35743f8a8866,2022-08-24T20:00:12.530Z,2022-08-24T20:00:12.530Z,1661371212.530806
Open,Buy,22347,1665,21098.0,MarkPrice,1665,False,ImmediateOrCancel,Created,b4c9c02b-0a1b-411c-a81d-e951452b100f,2022-08-24T20:00:14.550Z,2022-08-24T20:00:14.550Z,1661371214.550861
Modify,Sell,21046,2,NA,NA,2,True,ImmediateOrCancel,Created,825d0b80-3951-4655-bead-f0adb821750a,2022-08-24T20:00:17.691Z,2022-08-24T20:00:17.691Z,1661371217.691936
Open,Sell,19615.5,538,21994.0,MarkPrice,538,False,ImmediateOrCancel,Created,3cfc02eb-c514-4d42-ad68-c501ed01df6f,2022-08-27T00:00:09.918Z,2022-08-27T00:00:09.918Z,1661558409.919255
Modify,Buy,20824,1,NA,NA,1,True,ImmediateOrCancel,Created,2d30c992-c5ac-4f73-9a64-dda128ff308b,2022-08-27T00:00:11.270Z,2022-08-27T00:00:11.270Z,1661558411.270619
Close,Buy,21245,537,NA,NA,537,True,ImmediateOrCancel,Created,56ec3391-0d09-4801-a464-ce31ef7a83b4,2022-09-09T08:00:08.329Z,2022-09-09T08:00:08.329Z,1662710408.329865
Open,Buy,21247,555,19124.5,MarkPrice,555,False,ImmediateOrCancel,Created,0dba33f7-f03c-4686-adc9-0188d32c4bc5,2022-09-09T08:00:09.376Z,2022-09-09T08:00:09.376Z,1662710409.377300
Modify,Sell,20010,1,NA,NA,1,True,ImmediateOrCancel,Created,f0f55299-041a-4d59-8588-6657ef320d68,2022-09-09T08:00:11.141Z,2022-09-09T08:00:11.141Z,1662710411.142064
Close,Sell,19661,554,NA,NA,554,True,ImmediateOrCancel,Created,f53be9c5-48e0-41fb-8a9e-346cf1340853,2022-09-13T20:00:07.923Z,2022-09-13T20:00:07.923Z,1663099207.923430
Open,Sell,19661,371,22905.5,MarkPrice,371,False,ImmediateOrCancel,Created,6e1953e7-5e98-42d4-9769-010e00683725,2022-09-13T20:00:08.990Z,2022-09-13T20:00:08.990Z,1663099208.990807
