LEN,LEX,SEN,SEX,PSM,SLV,CLS,NOP,RMR,TCS
False,False,False,False,0,0,30131.0,30131.0,4.0,Thu Jun  2 12:00:07 2022
False,False,False,False,0,0,30172.0,30172.0,4.0,Thu Jun  2 16:00:07 2022
False,False,False,False,0,0,30257.5,30257.5,4.0,Thu Jun  2 20:00:11 2022
False,False,False,False,0,0,30415.0,30415.0,4.0,Fri Jun  3 00:00:08 2022
False,False,False,False,0,0,30491.5,30491.5,4.0,Fri Jun  3 04:00:11 2022
False,False,False,False,0,0,30416.0,30416.0,4.0,Fri Jun  3 08:00:12 2022
False,False,False,False,0,0,29715.5,29715.5,4.0,Fri Jun  3 12:00:11 2022
False,True,True,False,0.950281376711789,30709.0321,29452.5,29452.5,4.0,Fri Jun  3 16:00:11 2022
False,False,False,False,0,0,29534.5,29534.5,4.0,Fri Jun  3 20:00:12 2022
False,False,False,False,0,0,29670.0,29670.0,4.0,Sat Jun  4 00:00:11 2022
False,False,False,False,0,0,29516.0,29516.0,4.0,Sat Jun  4 04:00:11 2022
False,False,False,False,0,0,29656.5,29656.5,4.0,Sat Jun  4 08:00:12 2022
False,False,False,False,0,0,29630.5,29630.5,4.0,Sat Jun  4 12:00:11 2022
False,False,False,False,0,0,29819.5,29819.5,4.0,Sat Jun  4 16:00:11 2022
False,False,False,False,0,0,29604.5,29604.5,4.0,Sat Jun  4 20:00:11 2022
False,False,False,False,0,0,29835.0,29835.0,4.0,Sun Jun  5 00:00:11 2022
False,False,False,False,0,0,29719.5,29719.5,4.0,Sun Jun  5 04:00:12 2022
False,False,False,False,0,0,29610.5,29610.5,4.0,Sun Jun  5 08:00:11 2022
False,False,False,False,0,0,29690.0,29690.0,4.0,Sun Jun  5 12:00:09 2022
False,False,False,False,0,0,29939.0,29939.0,4.0,Sun Jun  5 16:00:07 2022
False,False,False,False,0,0,30025.0,30025.0,4.0,Sun Jun  5 20:00:06 2022
False,False,False,False,0,0,29873.0,29873.0,4.0,Mon Jun  6 00:00:12 2022
True,False,False,True,0.702875056562459,29573.00202,31219.5,31219.5,4.0,Mon Jun  6 04:00:11 2022
False,False,False,False,0,0,31252.0,31252.0,4.0,Mon Jun  6 08:00:11 2022
False,False,False,False,0,0,31364.5,31364.5,4.0,Mon Jun  6 12:00:11 2022
False,False,False,False,0,0,31502.5,31502.5,4.0,Mon Jun  6 16:00:11 2022
False,False,False,False,0,0,31446.5,31446.5,4.0,Mon Jun  6 20:00:06 2022
False,False,False,False,0,0,31342.0,31342.0,4.0,Tue Jun  7 00:00:12 2022
False,False,False,False,0,0,29519.5,29519.5,4.0,Tue Jun  7 04:00:11 2022
False,False,False,False,0,0,29540.5,29540.5,4.0,Tue Jun  7 08:00:06 2022
False,False,False,False,0,0,29486.5,29486.5,4.0,Tue Jun  7 12:00:11 2022
False,False,False,False,0,0,29866.5,29866.5,4.0,Tue Jun  7 16:00:08 2022
False,False,False,False,0,0,31036.5,31036.5,4.0,Tue Jun  7 20:00:07 2022
False,False,False,False,0,0,31096.0,31096.0,4.0,Wed Jun  8 00:00:06 2022
False,False,False,False,0,0,29984.0,29984.0,4.0,Wed Jun  8 04:00:11 2022
False,False,False,False,0,0,30531.5,30531.5,4.0,Wed Jun  8 08:00:11 2022
False,False,False,False,0,0,30380.0,30380.0,4.0,Wed Jun  8 12:00:07 2022
False,False,False,False,0,0,30445.0,30445.0,4.0,Wed Jun  8 16:00:11 2022
False,False,False,False,0,0,30101.5,30101.5,4.0,Wed Jun  8 20:00:11 2022
False,False,False,False,0,0,30162.5,30162.5,4.0,Thu Jun  9 00:00:09 2022
False,False,False,False,0,0,30256.5,30256.5,4.0,Thu Jun  9 04:00:06 2022
False,False,False,False,0,0,30458.5,30458.5,4.0,Thu Jun  9 08:00:07 2022
False,False,False,False,0,0,30259.5,30259.5,4.0,Thu Jun  9 12:00:07 2022
False,False,False,False,0,0,30274.5,30274.5,4.0,Thu Jun  9 16:00:11 2022
False,False,False,False,0,0,29972.5,29972.5,4.0,Thu Jun  9 20:00:06 2022
False,False,False,False,0,0,30069.5,30069.5,4.0,Fri Jun 10 00:00:11 2022
False,False,False,False,0,0,30078.5,30078.5,4.0,Fri Jun 10 04:00:11 2022
False,False,False,False,0,0,30011.5,30011.5,4.0,Fri Jun 10 08:00:06 2022
False,False,False,False,0,0,29985.0,29985.0,4.0,Fri Jun 10 12:00:11 2022
False,False,False,False,0,0,29421.5,29421.5,4.0,Fri Jun 10 16:00:06 2022
False,True,True,False,0.854261873173029,30315.44366,28931.5,28931.5,4.0,Fri Jun 10 20:00:06 2022
False,False,False,False,0,0,29038.5,29038.5,4.0,Sat Jun 11 00:00:11 2022
False,False,False,False,0,0,29230.5,29230.5,4.0,Sat Jun 11 04:00:06 2022
False,False,False,False,0,0,29284.0,29284.0,4.0,Sat Jun 11 08:00:08 2022
False,False,False,False,0,0,28691.5,28691.5,4.0,Sat Jun 11 12:00:06 2022
False,False,False,False,0,0,28362.5,28362.5,4.0,Sat Jun 11 16:00:08 2022
False,False,False,False,0,0,28554.0,28554.0,4.0,Sat Jun 11 20:00:11 2022
False,False,False,False,0,0,28379.0,28379.0,4.0,Sun Jun 12 00:00:06 2022
False,True,True,False,0.801063298752826,28911.29846,27501.5,27501.5,4.0,Sun Jun 12 04:00:06 2022
False,False,False,False,0,0,27601.0,27601.0,4.0,Sun Jun 12 08:00:07 2022
False,False,False,False,0,0,27416.0,27416.0,4.0,Sun Jun 12 12:00:11 2022
False,False,False,False,0,0,28042.5,28042.5,4.0,Sun Jun 12 16:00:09 2022
False,False,False,False,0,0,27378.0,27378.0,4.0,Sun Jun 12 20:00:06 2022
False,False,False,False,0,0,26525.0,26525.0,4.0,Mon Jun 13 00:00:06 2022
False,True,True,False,0.387093552638183,28353.61184,25456.0,25456.0,4.0,Mon Jun 13 04:00:06 2022
False,False,False,False,0,0,24750.0,24750.0,4.0,Mon Jun 13 08:00:14 2022
False,True,True,False,0.321236755694087,26979.016,23650.0,23650.0,4.0,Mon Jun 13 12:00:11 2022
False,False,False,False,0,0,23218.5,23218.5,4.0,Mon Jun 13 16:00:06 2022
False,False,False,False,0,0,23151.0,23151.0,4.0,Mon Jun 13 20:00:06 2022
False,False,False,False,0,0,22432.5,22432.5,4.0,Tue Jun 14 00:00:07 2022
False,True,True,False,0.428024442728838,24314.4148,22070.0,22070.0,4.0,Tue Jun 14 04:00:11 2022
False,False,False,False,0,0,22841.0,22841.0,4.0,Tue Jun 14 08:00:06 2022
