Action,Side,Price,Quantity,Stoploss,SLTriggerBy,LeavesQuantity,ReduceOnly,TIF,OrderStatus,OrderID,CratedAt,UpdatedAt,Time
Open,Sell,28574.5,1236,30709.0,MarkPrice,1236,False,ImmediateOrCancel,Created,5aed8cab-b01a-424a-bbf8-67816e394c1f,2022-06-03T16:00:12.849Z,2022-06-03T16:00:12.849Z,1654272012.849467
Open,Buy,32167,930,29573.0,MarkPrice,930,False,ImmediateOrCancel,Created,ee817a3f-e00f-4bd7-a5ba-ae6dd0aba581,2022-06-06T04:00:12.732Z,2022-06-06T04:00:12.732Z,1654488012.732697
Modify,Sell,30294,5,NA,NA,5,True,ImmediateOrCancel,Created,4c5b0919-28bf-47e0-8695-3ad050056d1c,2022-06-06T04:00:14.100Z,2022-06-06T04:00:14.100Z,1654488014.100936
Open,Sell,28060.5,1004,30315.5,MarkPrice,1004,False,ImmediateOrCancel,Created,78fd9c69-da28-4fcc-ab62-066c270b7d40,2022-06-10T20:00:07.830Z,2022-06-10T20:00:07.830Z,1654891207.830522
Modify,Buy,29790,3,NA,NA,3,True,ImmediateOrCancel,Created,422d84eb-d0d6-4021-b724-fb34ccd616fe,2022-06-10T20:00:09.372Z,2022-06-10T20:00:09.372Z,1654891209.372873
