LEN,LEX,SEN,SEX,PSM,SLV,CLS,NOP,RMR,TCS
False,False,False,False,0,0,29413.0,29413.0,4.0,Sat May 21 20:00:12 2022
False,False,False,False,0,0,29390.0,29390.0,4.0,Sun May 22 00:00:11 2022
False,False,False,False,0,0,29305.5,29305.5,4.0,Sun May 22 04:00:11 2022
False,False,False,False,0,0,29381.0,29381.0,4.0,Sun May 22 08:00:11 2022
False,False,False,False,0,0,29851.5,29851.5,4.0,Sun May 22 12:00:11 2022
False,False,False,False,0,0,29797.5,29797.5,4.0,Sun May 22 16:00:12 2022
False,False,False,False,0,0,29884.5,29884.5,4.0,Sun May 22 20:00:11 2022
False,False,False,False,0,0,30253.0,30253.0,4.0,Mon May 23 00:00:11 2022
False,False,False,False,0,0,30118.0,30118.0,4.0,Mon May 23 04:00:11 2022
False,False,False,False,0,0,30398.5,30398.5,4.0,Mon May 23 08:00:15 2022
False,False,False,False,0,0,30350.5,30350.5,4.0,Mon May 23 12:00:13 2022
False,False,False,False,0,0,30341.0,30341.0,4.0,Mon May 23 16:00:11 2022
False,False,False,False,0,0,29037.5,29037.5,4.0,Mon May 23 20:00:11 2022
False,False,False,False,0,0,29050.0,29050.0,4.0,Tue May 24 00:00:08 2022
False,False,False,False,0,0,29254.0,29254.0,4.0,Tue May 24 04:00:13 2022
False,False,False,False,0,0,29362.0,29362.0,4.0,Tue May 24 08:00:08 2022
False,False,False,False,0,0,29258.0,29258.0,4.0,Tue May 24 12:00:11 2022
False,False,False,False,0,0,29356.0,29356.0,4.0,Tue May 24 16:00:11 2022
False,False,False,False,0,0,29355.0,29355.0,4.0,Tue May 24 20:00:12 2022
False,False,False,False,0,0,29622.0,29622.0,4.0,Wed May 25 00:00:09 2022
False,False,False,False,0,0,30158.0,30158.0,4.0,Wed May 25 04:00:11 2022
False,False,False,False,0,0,29653.5,29653.5,4.0,Wed May 25 08:00:07 2022
False,False,False,False,0,0,29347.0,29347.0,4.0,Wed May 25 12:00:06 2022
False,False,False,False,0,0,29586.0,29586.0,4.0,Wed May 25 16:00:11 2022
False,False,False,False,0,0,29544.5,29544.5,4.0,Wed May 25 20:00:07 2022
False,False,False,False,0,0,29500.0,29500.0,4.0,Thu May 26 00:00:08 2022
False,False,False,False,0,0,29803.5,29803.5,4.0,Thu May 26 04:00:07 2022
False,False,False,False,0,0,29690.0,29690.0,4.0,Thu May 26 08:00:06 2022
False,False,False,False,0,0,28960.0,28960.0,4.0,Thu May 26 12:00:08 2022
False,True,True,False,1.72125552190614,30008.24426,29346.5,29346.5,4.0,Thu May 26 16:00:07 2022
False,False,False,False,0,0,29343.0,29343.0,4.0,Thu May 26 20:00:07 2022
False,False,False,False,0,0,29156.5,29156.5,4.0,Fri May 27 00:00:07 2022
False,False,False,False,0,0,28975.0,28975.0,4.0,Fri May 27 04:00:07 2022
False,False,False,False,0,0,28939.0,28939.0,4.0,Fri May 27 08:00:11 2022
False,False,False,False,0,0,28869.0,28869.0,4.0,Fri May 27 12:00:06 2022
False,False,False,False,0,0,28803.5,28803.5,4.0,Fri May 27 16:00:11 2022
False,False,False,False,0,0,28832.5,28832.5,4.0,Fri May 27 20:00:12 2022
False,False,False,False,0,0,28580.0,28580.0,4.0,Sat May 28 00:00:12 2022
False,False,False,False,0,0,28781.0,28781.0,4.0,Sat May 28 04:00:11 2022
False,False,False,False,0,0,28841.5,28841.5,4.0,Sat May 28 08:00:11 2022
False,False,False,False,0,0,28784.5,28784.5,4.0,Sat May 28 12:00:11 2022
False,False,False,False,0,0,28943.0,28943.0,4.0,Sat May 28 16:00:11 2022
False,False,False,False,0,0,28989.5,28989.5,4.0,Sat May 28 20:00:11 2022
False,False,False,False,0,0,28991.0,28991.0,4.0,Sun May 29 00:00:11 2022
False,False,False,False,0,0,28940.5,28940.5,4.0,Sun May 29 04:00:11 2022
False,False,False,False,0,0,28967.5,28967.5,4.0,Sun May 29 08:00:12 2022
False,False,False,False,0,0,29174.5,29174.5,4.0,Sun May 29 12:00:11 2022
False,False,False,False,0,0,29170.5,29170.5,4.0,Sun May 29 16:00:11 2022
False,False,False,False,0,0,29079.5,29079.5,4.0,Sun May 29 20:00:11 2022
False,False,False,False,0,0,29424.0,29424.0,4.0,Mon May 30 00:00:11 2022
True,False,False,True,0.785945982685489,28880.18622,30314.5,30314.5,4.0,Mon May 30 04:00:06 2022
