Action,Side,Price,Quantity,Stoploss,SLTriggerBy,LeavesQuantity,ReduceOnly,TIF,OrderStatus,OrderID,CratedAt,UpdatedAt,Time
Close,Sell,20266,1613,NA,NA,1613,True,ImmediateOrCancel,Created,79abf943-6f66-433b-8ac6-723f14981060,2023-01-18T20:00:07.031Z,2023-01-18T20:00:07.031Z,1674072007.032316
Open,Sell,20266.5,1263,21770.5,MarkPrice,1263,False,ImmediateOrCancel,Created,673e867e-1c4a-460c-bed1-43bcc5c2f674,2023-01-18T20:00:08.062Z,2023-01-18T20:00:08.062Z,1674072008.062841
Open,Buy,23327.5,614,20827.0,MarkPrice,614,False,ImmediateOrCancel,Created,575096a3-6396-478c-8b37-a700e628194b,2023-01-21T00:00:07.163Z,2023-01-21T00:00:07.163Z,1674259207.164505
Close,Sell,22212.5,614,NA,NA,614,True,ImmediateOrCancel,Created,114c5d33-c6ad-49c3-9e2c-d6f19a240b7f,2023-02-05T20:00:07.304Z,2023-02-05T20:00:07.304Z,1675627207.305225
Open,Sell,22213,1905,23557.5,MarkPrice,1905,False,ImmediateOrCancel,Created,af829ea6-16c3-4bf0-93fc-eba8504716fa,2023-02-05T20:00:08.447Z,2023-02-05T20:00:08.447Z,1675627208.448342
Modify,Buy,23586,10,NA,NA,10,True,ImmediateOrCancel,Created,1506bd57-9707-4a51-82ae-c64f7cd79853,2023-02-05T20:00:09.896Z,2023-02-05T20:00:09.896Z,1675627209.897643
Close,Buy,22722,1895,NA,NA,1895,True,ImmediateOrCancel,Created,8cbd8730-3b2b-4cad-a351-52eca2be9da2,2023-02-14T16:00:07.072Z,2023-02-14T16:00:07.072Z,1676390407.073503
Open,Buy,22726,1848,21437.5,MarkPrice,1848,False,ImmediateOrCancel,Created,b4ef9542-6574-488d-a940-e9ed64ffdc12,2023-02-14T16:00:08.067Z,2023-02-14T16:00:08.067Z,1676390408.067765
Modify,Sell,21403,11,NA,NA,11,True,ImmediateOrCancel,Created,7511beb5-0612-412a-8922-899e283b54ba,2023-02-14T16:00:10.442Z,2023-02-14T16:00:10.442Z,1676390410.442930
Close,Sell,22488.5,1837,NA,NA,1837,True,ImmediateOrCancel,Created,d6a624c6-d5c1-47eb-aa24-d3b68f97acc2,2023-02-24T20:00:07.157Z,2023-02-24T20:00:07.157Z,1677268807.157965
Open,Sell,22489,1487,24163.0,MarkPrice,1487,False,ImmediateOrCancel,Created,87f60e61-3b3f-4361-8533-b18cefb17c15,2023-02-24T20:00:08.159Z,2023-02-24T20:00:08.159Z,1677268808.159793
Close,Buy,21604.5,1487,NA,NA,1487,True,ImmediateOrCancel,Created,4e485463-c782-4479-84d9-80d71c4865d4,2023-03-12T20:00:07.235Z,2023-03-12T20:00:07.235Z,1678651207.236393
Open,Buy,21604.5,1971,20349.0,MarkPrice,1971,False,ImmediateOrCancel,Created,d58621a0-f672-4ddc-9933-6276bc064f5d,2023-03-12T20:00:08.552Z,2023-03-12T20:00:08.552Z,1678651208.552597
Modify,Sell,20346.5,40,NA,NA,40,True,ImmediateOrCancel,Created,05530cef-8e4c-4158-8242-c3c9aff7c8bb,2023-03-12T20:00:10.286Z,2023-03-12T20:00:10.286Z,1678651210.287090
Close,Sell,26085.5,1931,NA,NA,1931,True,ImmediateOrCancel,Created,8388b659-c74e-4efe-8f2d-79f3cdc63ccc,2023-03-27T16:00:07.193Z,2023-03-27T16:00:07.193Z,1679932807.193942
Open,Sell,26081.5,2190,28164.5,MarkPrice,2190,False,ImmediateOrCancel,Created,805e7e26-5fbe-4459-8b17-167394f74215,2023-03-27T16:00:09.108Z,2023-03-27T16:00:09.108Z,1679932809.108778
Modify,Buy,27692,19,NA,NA,19,True,ImmediateOrCancel,Created,b24b201d-5a4a-4fa6-9cc8-5852287a41b9,2023-03-27T16:00:11.089Z,2023-03-27T16:00:11.089Z,1679932811.090297
Open,Buy,29209.5,2129,27089.0,MarkPrice,2129,False,ImmediateOrCancel,Created,e7ddb4ca-9b5b-46dd-8dd6-e6e8c768bb42,2023-03-29T12:00:08.466Z,2023-03-29T12:00:08.466Z,1680091208.467444
Modify,Sell,27508.5,12,NA,NA,12,True,ImmediateOrCancel,Created,70677b6d-27b5-457d-a4f1-b802e4118535,2023-03-29T12:00:10.165Z,2023-03-29T12:00:10.165Z,1680091210.166362
Close,Sell,29071.5,2117,NA,NA,2117,True,ImmediateOrCancel,Created,2b509497-cccb-4b94-849b-9d6213a39e6d,2023-04-17T04:00:08.009Z,2023-04-17T04:00:08.009Z,1681704008.009771
Open,Sell,29071,4239,30745.5,MarkPrice,4239,False,ImmediateOrCancel,Created,7d764f0e-137f-4059-9522-f2bd2772e10e,2023-04-17T04:00:09.159Z,2023-04-17T04:00:09.159Z,1681704009.159788
Close,Buy,29137,4239,NA,NA,4239,True,ImmediateOrCancel,Created,b0a56d09-b87f-4379-b20b-c5528a907615,2023-04-26T00:00:07.686Z,2023-04-26T00:00:07.686Z,1682467207.686988
Open,Buy,29136.5,2469,27049.5,MarkPrice,2469,False,ImmediateOrCancel,Created,a339ec7f-954a-4a4f-ad11-ce1b6b96ec9c,2023-04-26T00:00:09.059Z,2023-04-26T00:00:09.059Z,1682467209.060438
Modify,Sell,27441,18,NA,NA,18,True,ImmediateOrCancel,Created,d3a5a730-2b56-44c7-b771-26e7af7be231,2023-04-26T00:00:10.523Z,2023-04-26T00:00:10.523Z,1682467210.524319
