LEN,LEX,SEN,SEX,PSM,SLV,CLS,NOP,RMR,TCS
False,False,False,False,0,0,38459.0,38459.0,4.0,Sat Apr 30 20:00:07 2022
False,True,True,False,1.20325275632668,38860.9786,37615.0,37615.0,4.0,Sun May  1 00:00:07 2022
False,False,False,False,0,0,38029.0,38029.0,4.0,Sun May  1 04:00:11 2022
False,False,False,False,0,0,37949.5,37949.5,4.0,Sun May  1 08:00:11 2022
False,False,False,False,0,0,37931.5,37931.5,4.0,Sun May  1 12:00:08 2022
False,False,False,False,0,0,38487.5,38487.5,4.0,Sun May  1 16:00:08 2022
False,False,False,False,0,0,37786.0,37786.0,4.0,Sun May  1 20:00:11 2022
False,False,False,False,0,0,38458.5,38458.5,4.0,Mon May  2 00:00:06 2022
False,False,False,False,0,0,38660.5,38660.5,4.0,Mon May  2 04:00:11 2022
False,False,False,False,0,0,38867.0,38867.0,4.0,Mon May  2 08:00:11 2022
False,False,False,False,0,0,38520.0,38520.0,4.0,Mon May  2 12:00:11 2022
False,False,False,False,0,0,38682.0,38682.0,4.0,Mon May  2 16:00:11 2022
False,False,False,False,0,0,38535.0,38535.0,4.0,Mon May  2 20:00:11 2022
False,False,False,False,0,0,38512.5,38512.5,4.0,Tue May  3 00:00:07 2022
False,False,False,False,0,0,38503.0,38503.0,4.0,Tue May  3 04:00:11 2022
False,False,False,False,0,0,38538.5,38538.5,4.0,Tue May  3 08:00:11 2022
False,False,False,False,0,0,38544.0,38544.0,4.0,Tue May  3 12:00:11 2022
False,False,False,False,0,0,38323.5,38323.5,4.0,Tue May  3 16:00:07 2022
False,False,False,False,0,0,37706.5,37706.5,4.0,Tue May  3 20:00:07 2022
False,False,False,False,0,0,37708.0,37708.0,4.0,Wed May  4 00:00:12 2022
False,False,False,False,0,0,37989.5,37989.5,4.0,Wed May  4 04:00:11 2022
False,False,False,False,0,0,38668.0,38668.0,4.0,Wed May  4 08:00:06 2022
False,False,False,False,0,0,38996.0,38996.0,4.0,Wed May  4 12:00:13 2022
False,False,False,False,0,0,38980.0,38980.0,4.0,Wed May  4 16:00:06 2022
True,False,False,True,1.01721776397644,38377.8024,39840.0,39840.0,4.0,Wed May  4 20:00:11 2022
False,False,False,False,0,0,39675.0,39675.0,4.0,Thu May  5 00:00:09 2022
False,False,False,False,0,0,39716.5,39716.5,4.0,Thu May  5 04:00:11 2022
False,False,False,False,0,0,39575.0,39575.0,4.0,Thu May  5 08:00:09 2022
False,False,False,False,0,0,39496.5,39496.5,4.0,Thu May  5 12:00:11 2022
False,True,True,False,0.4970351737794,40048.32526,36871.5,36871.5,4.0,Thu May  5 16:00:13 2022
False,False,False,False,0,0,36267.5,36267.5,4.0,Thu May  5 20:00:11 2022
False,False,False,False,0,0,36511.0,36511.0,4.0,Fri May  6 00:00:06 2022
False,False,False,False,0,0,36442.0,36442.0,4.0,Fri May  6 04:00:11 2022
False,False,False,False,0,0,36363.0,36363.0,4.0,Fri May  6 08:00:11 2022
False,False,False,False,0,0,35764.5,35764.5,4.0,Fri May  6 12:00:06 2022
False,False,False,False,0,0,35980.0,35980.0,4.0,Fri May  6 16:00:06 2022
False,False,False,False,0,0,35974.5,35974.5,4.0,Fri May  6 20:00:07 2022
False,False,False,False,0,0,35992.0,35992.0,4.0,Sat May  7 00:00:11 2022
False,False,False,False,0,0,35787.0,35787.0,4.0,Sat May  7 04:00:06 2022
False,False,False,False,0,0,35887.0,35887.0,4.0,Sat May  7 08:00:07 2022
False,False,False,False,0,0,36022.0,36022.0,4.0,Sat May  7 12:00:11 2022
False,False,False,False,0,0,35922.5,35922.5,4.0,Sat May  7 16:00:06 2022
False,False,False,False,0,0,35852.0,35852.0,4.0,Sat May  7 20:00:06 2022
False,True,True,False,1.65531466944022,36270.9475,35437.5,35437.5,4.0,Sun May  8 00:00:06 2022
False,False,False,False,0,0,34468.5,34468.5,4.0,Sun May  8 04:00:11 2022
False,False,False,False,0,0,34595.0,34595.0,4.0,Sun May  8 08:00:06 2022
False,False,False,False,0,0,34763.0,34763.0,4.0,Sun May  8 12:00:11 2022
False,False,False,False,0,0,34342.5,34342.5,4.0,Sun May  8 16:00:06 2022
False,False,False,False,0,0,34574.5,34574.5,4.0,Sun May  8 20:00:07 2022
False,False,False,False,0,0,34015.0,34015.0,4.0,Mon May  9 00:00:11 2022
False,False,False,False,0,0,33553.0,33553.0,4.0,Mon May  9 04:00:11 2022
False,False,False,False,0,0,33506.5,33506.5,4.0,Mon May  9 08:00:07 2022
False,True,True,False,1.01804960921226,34411.03118,33099.5,33099.5,4.0,Mon May  9 12:00:07 2022
False,False,False,False,0,0,32338.5,32338.5,4.0,Mon May  9 16:00:06 2022
False,True,True,False,0.443709703715414,33934.77778,30914.5,30914.5,4.0,Mon May  9 20:00:11 2022
False,False,False,False,0,0,30060.5,30060.5,4.0,Tue May 10 00:00:11 2022
False,False,False,False,0,0,30635.0,30635.0,4.0,Tue May 10 04:00:11 2022
False,False,False,False,0,0,31611.0,31611.0,4.0,Tue May 10 08:00:11 2022
False,False,False,False,0,0,31611.0,31611.0,4.0,Tue May 10 12:00:07 2022
False,False,False,False,0,0,31300.5,31300.5,4.0,Tue May 10 16:00:12 2022
False,False,False,False,0,0,31313.0,31313.0,4.0,Tue May 10 20:00:11 2022
False,False,False,False,0,0,31004.0,31004.0,4.0,Wed May 11 00:00:08 2022
False,False,False,False,0,0,31183.5,31183.5,4.0,Wed May 11 04:00:11 2022
False,False,False,False,0,0,30600.0,30600.0,4.0,Wed May 11 08:00:12 2022
False,False,False,False,0,0,31503.0,31503.0,4.0,Wed May 11 12:00:11 2022
False,False,False,False,0,0,30925.0,30925.0,4.0,Wed May 11 16:00:11 2022
False,False,False,False,0,0,29307.5,29307.5,4.0,Wed May 11 20:00:12 2022
False,True,True,False,0.401293349609717,32129.98696,28964.0,28964.0,4.0,Thu May 12 00:00:12 2022
False,False,False,False,0,0,28249.0,28249.0,4.0,Thu May 12 04:00:11 2022
False,True,True,False,0.45978308209722,30246.646,27650.0,27650.0,4.0,Thu May 12 08:00:11 2022
False,False,False,False,0,0,28198.0,28198.0,4.0,Thu May 12 12:00:12 2022
False,False,False,False,0,0,28877.0,28877.0,4.0,Thu May 12 16:00:11 2022
False,False,False,False,0,0,28540.0,28540.0,4.0,Thu May 12 20:00:12 2022
False,False,False,False,0,0,28931.0,28931.0,4.0,Fri May 13 00:00:07 2022
False,False,False,False,0,0,30464.5,30464.5,4.0,Fri May 13 04:00:11 2022
False,False,False,False,0,0,30097.0,30097.0,4.0,Fri May 13 08:00:12 2022
False,False,False,False,0,0,30597.5,30597.5,4.0,Fri May 13 12:00:11 2022
