LEN,LEX,SEN,SEX,PSM,SLV,CLS,NOP,RMR,TCS
False,False,False,False,0,0,19259.5,19259.5,4.0,Fri Jul  1 16:00:12 2022
False,False,False,False,0,0,19352.0,19352.0,4.0,Fri Jul  1 20:00:06 2022
False,False,False,False,0,0,19245.5,19245.5,4.0,Sat Jul  2 00:00:07 2022
False,False,False,False,0,0,19097.5,19097.5,4.0,Sat Jul  2 04:00:06 2022
False,False,False,False,0,0,19090.0,19090.0,4.0,Sat Jul  2 08:00:06 2022
False,False,False,False,0,0,19157.5,19157.5,4.0,Sat Jul  2 12:00:11 2022
False,False,False,False,0,0,19192.5,19192.5,4.0,Sat Jul  2 16:00:11 2022
False,False,False,False,0,0,19234.5,19234.5,4.0,Sat Jul  2 20:00:12 2022
False,False,False,False,0,0,19212.0,19212.0,4.0,Sun Jul  3 00:00:12 2022
False,False,False,False,0,0,19231.0,19231.0,4.0,Sun Jul  3 04:00:11 2022
False,False,False,False,0,0,19102.0,19102.0,4.0,Sun Jul  3 08:00:06 2022
False,False,False,False,0,0,19059.0,19059.0,4.0,Sun Jul  3 12:00:06 2022
False,False,False,False,0,0,19015.5,19015.5,4.0,Sun Jul  3 16:00:11 2022
False,False,False,False,0,0,19463.0,19463.0,4.0,Sun Jul  3 20:00:11 2022
False,False,False,False,0,0,19279.5,19279.5,4.0,Mon Jul  4 00:00:11 2022
False,False,False,False,0,0,19070.0,19070.0,4.0,Mon Jul  4 04:00:06 2022
False,False,False,False,0,0,19094.5,19094.5,4.0,Mon Jul  4 08:00:11 2022
False,False,False,False,0,0,19773.0,19773.0,4.0,Mon Jul  4 12:00:08 2022
False,False,False,False,0,0,19766.0,19766.0,4.0,Mon Jul  4 16:00:13 2022
False,False,False,False,0,0,19801.0,19801.0,4.0,Mon Jul  4 20:00:11 2022
False,False,False,False,0,0,20198.5,20198.5,4.0,Tue Jul  5 00:00:11 2022
False,False,False,False,0,0,20275.5,20275.5,4.0,Tue Jul  5 04:00:11 2022
False,False,False,False,0,0,20181.0,20181.0,4.0,Tue Jul  5 08:00:06 2022
False,False,False,False,0,0,19487.0,19487.0,4.0,Tue Jul  5 12:00:11 2022
False,False,False,False,0,0,19485.0,19485.0,4.0,Tue Jul  5 16:00:11 2022
False,False,False,False,0,0,20375.0,20375.0,4.0,Tue Jul  5 20:00:11 2022
False,False,False,False,0,0,20142.5,20142.5,4.0,Wed Jul  6 00:00:11 2022
False,False,False,False,0,0,19914.5,19914.5,4.0,Wed Jul  6 04:00:11 2022
False,False,False,False,0,0,20132.0,20132.0,4.0,Wed Jul  6 08:00:06 2022
False,False,False,False,0,0,20071.0,20071.0,4.0,Wed Jul  6 12:00:12 2022
False,False,False,False,0,0,20111.5,20111.5,4.0,Wed Jul  6 16:00:06 2022
False,False,False,False,0,0,20298.5,20298.5,4.0,Wed Jul  6 20:00:07 2022
False,False,False,False,0,0,20532.5,20532.5,4.0,Thu Jul  7 00:00:11 2022
False,False,False,False,0,0,20451.0,20451.0,4.0,Thu Jul  7 04:00:06 2022
False,False,False,False,0,0,20410.0,20410.0,4.0,Thu Jul  7 08:00:11 2022
False,False,False,False,0,0,20477.5,20477.5,4.0,Thu Jul  7 12:09:07 2022
False,False,False,False,0,0,20863.5,20863.5,4.0,Thu Jul  7 16:00:11 2022
