TRADING_BALANCE_BYBIT,WITHDRAW_APPLY_BYBIT,WITHDRAW_AMOUNT_BYBIT,DEPOSIT_APPLY_BYBIT,DEPOSIT_AMOUNT_BYBIT,PNL,PNLP,HYPO_EQUITY_CURVE,ACCOUNT_MIN_TRADING_BALANCE_BYBIT,Time,ALLOWED_DRAW_DOWN,TRADE_ID
0.03930558,FALSE,0.00000000,FALSE,0.00000000,0.00046063,1.19,153.55,0.01818469,1646424024.115440,40.0,59
0.03822831,FALSE,0.00000000,FALSE,0.00000000,-0.00107727,-2.74,149.34,0.01818469,1646798423.953420,40.0,60
0.03667235,FALSE,0.00000000,FALSE,0.00000000,-0.00155596,-4.07,143.26,0.01818469,1647216022.955910,40.0,61
0.03521324,FALSE,0.00000000,FALSE,0.00000000,-0.00145911,-3.98,137.56,0.01818469,1647633623.115990,40.0,62
0.03636736,FALSE,0.00000000,FALSE,0.00000000,0.00115412,3.28,142.07,0.01818469,1648785639.517740,40.0,63
0.03491519,FALSE,0.00000000,FALSE,0.00000000,-0.00145217,-3.99,136.40,0.01818469,1649217619.306620,40.0,64
0.04161428,FALSE,0.00000000,FALSE,0.00000000,0.00669909,19.19,162.57,0.02800000,1651694412.729958,40.0,65
0.03993487,FALSE,0.00000000,FALSE,0.00000000,0.00000000,0.00,100.00,0.02800000,1651766414.204542,40.0,66
0.04417749,FALSE,0.00000000,FALSE,0.00000000,0.00424262,10.62,110.62,0.03000000,1654272012.248818,40.0,2
0.04240868,FALSE,0.00000000,FALSE,0.00000000,-0.00176881,-4.00,106.19,0.03000000,1654488012.059614,40.0,3
0.04065192,FALSE,0.00000000,FALSE,0.00000000,-0.00175676,-4.14,101.79,0.03000000,1654891207.223044,40.0,4
0.05174377,FALSE,0.00000000,FALSE,0.00000000,0.01109185,27.28,129.56,0.03420000,1657224012.733058,40.0,5
0.04964062,FALSE,0.00000000,FALSE,0.00000000,-0.00210315,-4.06,124.29,0.03420000,1657828813.345033,40.0,6
0.05351561,FALSE,0.00000000,FALSE,0.00000000,0.00387499,7.81,133.99,0.03420000,1660752012.779972,40.0,7
0.05667606,FALSE,0.00000000,FALSE,0.00000000,0.00316045,5.91,141.90,0.03420000,1661371213.171663,40.0,8
0.05425557,FALSE,0.00000000,FALSE,0.00000000,-0.00242049,-4.27,135.84,0.03420000,1661558409.298781,40.0,9
0.05368493,FALSE,0.00000000,FALSE,0.00000000,-0.00057064,-1.05,134.41,0.03420000,1662710408.755911,40.0,10
0.05315405,FALSE,0.00000000,FALSE,0.00000000,-0.00053088,-0.99,133.08,0.03420000,1663099208.358805,40.0,11
0.05326042,FALSE,0.00000000,FALSE,0.00000000,0.00010637,0.20,133.35,0.03420000,1664251213.028631,40.0,12
0.05110857,FALSE,0.00000000,FALSE,0.00000000,-0.00215185,-4.04,127.96,0.03420000,1664928006.968170,40.0,13
0.04900312,FALSE,0.00000000,FALSE,0.00000000,-0.00210545,-4.12,122.69,0.03420000,1665158408.254767,40.0,14
0.04818336,FALSE,0.00000000,FALSE,0.00000000,-0.00081976,-1.67,120.64,0.03420000,1665720008.046098,40.0,15
0.04669946,FALSE,0.00000000,FALSE,0.00000000,-0.00148390,-3.08,116.92,0.03420000,1666238408.396508,40.0,16
0.04484346,FALSE,0.00000000,FALSE,0.00000000,-0.00185600,-3.97,112.27,0.03420000,1666555212.081845,40.0,17
0.04548154,FALSE,0.00000000,FALSE,0.00000000,0.00063808,1.42,113.87,0.03420000,1667894419.969231,40.0,18
0.05013363,FALSE,0.00000000,FALSE,0.00000000,0.00465209,10.23,125.52,0.03420000,1669780807.782416,40.0,19
0.05036834,FALSE,0.00000000,FALSE,0.00000000,0.00023471,0.47,126.11,0.03420000,1670817607.496219,40.0,20
0.04826904,FALSE,0.00000000,FALSE,0.00000000,-0.00209930,-4.17,120.85,0.03420000,1670932807.271515,40.0,21
0.04631682,FALSE,0.00000000,FALSE,0.00000000,-0.00195222,-4.04,115.96,0.03420000,1671192006.699928,40.0,22
0.04606562,FALSE,0.00000000,FALSE,0.00000000,-0.00025120,-0.54,115.33,0.03420000,1673222407.117420,40.0,23
0.06277258,FALSE,0.00000000,FALSE,0.00000000,0.01670696,36.27,157.16,0.03750000,1674072007.454282,40.0,24
0.06013278,FALSE,0.00000000,FALSE,0.00000000,-0.00263980,-4.21,150.55,0.03750000,1674259206.580576,40.0,25
0.06025557,FALSE,0.00000000,FALSE,0.00000000,0.00012279,0.20,150.86,0.03750000,1675627207.772654,40.0,26
0.06347984,FALSE,0.00000000,FALSE,0.00000000,0.00322427,5.35,158.93,0.03750000,1676390407.458582,40.0,27
0.06714531,FALSE,0.00000000,FALSE,0.00000000,0.00366547,5.77,168.11,0.03750000,1677268807.553334,40.0,28
0.07370258,FALSE,0.00000000,FALSE,0.00000000,0.00655727,9.77,184.53,0.03750000,1678651207.633032,40.0,29
0.09378552,FALSE,0.00000000,FALSE,0.00000000,0.02008294,27.25,234.81,0.03750000,1679932807.895329,40.0,30
0.08982204,FALSE,0.00000000,FALSE,0.00000000,-0.00396348,-4.23,224.89,0.03750000,1680091207.561897,40.0,31
0.09339371,FALSE,0.00000000,FALSE,0.00000000,0.00357167,3.98,233.83,0.03750000,1681704008.465849,40.0,32
0.10189922,FALSE,0.00000000,FALSE,0.00000000,0.00850551,9.11,255.13,0.03750000,1682467208.105251,40.0,33
