LEN,LEX,SEN,SEX,PSM,SLV,CLS,NOP,RMR,TCS
False,False,False,False,0,0,19925.0,19925.0,4.0,Fri Oct  7 08:00:06 2022
False,False,False,False,0,0,19996.5,19996.5,4.0,Fri Oct  7 12:00:07 2022
False,True,True,False,1.28139663267812,20175.9641,19570.0,19570.0,4.0,Fri Oct  7 16:00:07 2022
False,False,False,False,0,0,19451.0,19451.0,4.0,Fri Oct  7 20:00:08 2022
False,False,False,False,0,0,19520.5,19520.5,4.0,Sat Oct  8 00:00:06 2022
False,False,False,False,0,0,19494.5,19494.5,4.0,Sat Oct  8 04:00:06 2022
False,False,False,False,0,0,19491.5,19491.5,4.0,Sat Oct  8 08:00:06 2022
False,False,False,False,0,0,19533.0,19533.0,4.0,Sat Oct  8 12:00:06 2022
False,False,False,False,0,0,19481.0,19481.0,4.0,Sat Oct  8 16:00:07 2022
False,False,False,False,0,0,19453.5,19453.5,4.0,Sat Oct  8 20:00:07 2022
False,False,False,False,0,0,19411.5,19411.5,4.0,Sun Oct  9 00:00:08 2022
False,False,False,False,0,0,19357.5,19357.5,4.0,Sun Oct  9 04:00:06 2022
False,False,False,False,0,0,19401.5,19401.5,4.0,Sun Oct  9 08:00:06 2022
False,False,False,False,0,0,19460.0,19460.0,4.0,Sun Oct  9 12:00:07 2022
False,False,False,False,0,0,19532.5,19532.5,4.0,Sun Oct  9 16:00:06 2022
False,False,False,False,0,0,19459.0,19459.0,4.0,Sun Oct  9 20:00:07 2022
False,False,False,False,0,0,19435.5,19435.5,4.0,Mon Oct 10 00:00:06 2022
False,False,False,False,0,0,19440.0,19440.0,4.0,Mon Oct 10 04:00:06 2022
False,False,False,False,0,0,19404.0,19404.0,4.0,Mon Oct 10 08:00:07 2022
False,False,False,False,0,0,19324.5,19324.5,4.0,Mon Oct 10 12:00:07 2022
False,False,False,False,0,0,19263.0,19263.0,4.0,Mon Oct 10 16:00:07 2022
False,False,False,False,0,0,19203.0,19203.0,4.0,Mon Oct 10 20:00:06 2022
False,False,False,False,0,0,19121.0,19121.0,4.0,Tue Oct 11 00:00:22 2022
False,False,False,False,0,0,19031.5,19031.5,4.0,Tue Oct 11 04:00:06 2022
False,False,False,False,0,0,19069.0,19069.0,4.0,Tue Oct 11 08:00:06 2022
False,False,False,False,0,0,19145.0,19145.0,4.0,Tue Oct 11 12:00:07 2022
False,False,False,False,0,0,19138.0,19138.0,4.0,Tue Oct 11 16:00:06 2022
False,False,False,False,0,0,18980.5,18980.5,4.0,Tue Oct 11 20:00:07 2022
False,False,False,False,0,0,19051.5,19051.5,4.0,Wed Oct 12 00:00:05 2022
False,False,False,False,0,0,19036.0,19036.0,4.0,Wed Oct 12 04:00:06 2022
False,False,False,False,0,0,19098.5,19098.5,4.0,Wed Oct 12 08:00:07 2022
False,False,False,False,0,0,19107.5,19107.5,4.0,Wed Oct 12 12:00:11 2022
False,False,False,False,0,0,19135.0,19135.0,4.0,Wed Oct 12 16:00:06 2022
False,False,False,False,0,0,19130.0,19130.0,4.0,Wed Oct 12 20:00:06 2022
False,False,False,False,0,0,19148.0,19148.0,4.0,Thu Oct 13 00:00:07 2022
False,False,False,False,0,0,19075.5,19075.5,4.0,Thu Oct 13 04:00:05 2022
False,False,False,False,0,0,19000.5,19000.5,4.0,Thu Oct 13 08:00:06 2022
False,True,True,False,1.35178543477637,19285.86394,18738.0,18738.0,4.0,Thu Oct 13 12:00:07 2022
False,False,False,False,0,0,18943.5,18943.5,4.0,Thu Oct 13 16:00:06 2022
False,False,False,False,0,0,19362.5,19362.5,4.0,Thu Oct 13 20:00:07 2022
False,False,False,False,0,0,19371.5,19371.5,4.0,Fri Oct 14 00:00:06 2022
True,False,False,True,0.720053892778532,18785.58922,19806.0,19806.0,4.0,Fri Oct 14 04:00:06 2022
False,False,False,False,0,0,19636.5,19636.5,4.0,Fri Oct 14 08:00:07 2022
False,False,False,False,0,0,19587.5,19587.5,4.0,Fri Oct 14 12:00:06 2022
False,False,False,False,0,0,19350.5,19350.5,4.0,Fri Oct 14 16:00:06 2022
False,False,False,False,0,0,19162.0,19162.0,4.0,Fri Oct 14 20:00:07 2022
False,False,False,False,0,0,19167.5,19167.5,4.0,Sat Oct 15 00:00:07 2022
False,False,False,False,0,0,19198.0,19198.0,4.0,Sat Oct 15 04:00:06 2022
False,False,False,False,0,0,19165.5,19165.5,4.0,Sat Oct 15 08:00:06 2022
False,False,False,False,0,0,19158.5,19158.5,4.0,Sat Oct 15 12:00:06 2022
False,False,False,False,0,0,19124.0,19124.0,4.0,Sat Oct 15 16:00:06 2022
False,False,False,False,0,0,19087.5,19087.5,4.0,Sat Oct 15 20:00:06 2022
False,False,False,False,0,0,19059.5,19059.5,4.0,Sun Oct 16 00:00:07 2022
False,False,False,False,0,0,19111.5,19111.5,4.0,Sun Oct 16 04:00:06 2022
False,False,False,False,0,0,19125.5,19125.5,4.0,Sun Oct 16 08:00:12 2022
False,False,False,False,0,0,19136.5,19136.5,4.0,Sun Oct 16 12:00:06 2022
False,False,False,False,0,0,19148.0,19148.0,4.0,Sun Oct 16 16:00:06 2022
False,False,False,False,0,0,19367.5,19367.5,4.0,Sun Oct 16 20:00:06 2022
False,False,False,False,0,0,19252.0,19252.0,4.0,Mon Oct 17 00:00:07 2022
False,False,False,False,0,0,19181.5,19181.5,4.0,Mon Oct 17 04:00:07 2022
False,False,False,False,0,0,19292.5,19292.5,4.0,Mon Oct 17 08:00:07 2022
False,False,False,False,0,0,19447.0,19447.0,4.0,Mon Oct 17 12:00:06 2022
False,False,False,False,0,0,19527.0,19527.0,4.0,Mon Oct 17 16:00:05 2022
False,False,False,False,0,0,19512.0,19512.0,4.0,Mon Oct 17 20:00:07 2022
False,False,False,False,0,0,19536.0,19536.0,4.0,Tue Oct 18 00:00:05 2022
False,False,False,False,0,0,19540.5,19540.5,4.0,Tue Oct 18 04:00:06 2022
False,False,False,False,0,0,19661.5,19661.5,4.0,Tue Oct 18 08:00:07 2022
False,False,False,False,0,0,19556.0,19556.0,4.0,Tue Oct 18 12:00:06 2022
False,False,False,False,0,0,19363.0,19363.0,4.0,Tue Oct 18 16:00:06 2022
False,False,False,False,0,0,19210.5,19210.5,4.0,Tue Oct 18 20:00:07 2022
False,False,False,False,0,0,19319.5,19319.5,4.0,Wed Oct 19 00:00:06 2022
False,False,False,False,0,0,19276.5,19276.5,4.0,Wed Oct 19 04:00:06 2022
False,False,False,False,0,0,19213.0,19213.0,4.0,Wed Oct 19 08:00:06 2022
False,False,False,False,0,0,19192.5,19192.5,4.0,Wed Oct 19 12:00:07 2022
False,False,False,False,0,0,19262.5,19262.5,4.0,Wed Oct 19 16:00:11 2022
False,False,False,False,0,0,19225.0,19225.0,4.0,Wed Oct 19 20:00:06 2022
False,False,False,False,0,0,19118.5,19118.5,4.0,Thu Oct 20 00:00:12 2022
False,True,True,False,1.99845692884085,19395.656965,19030.5,19030.5,4.0,Thu Oct 20 04:00:07 2022
